PositionX [?m],PositionY [?m],Time [s]
12.619444,13.673611,00:00.0
12.689855,13.678261,00:00.8
12.618116,13.646377,00:01.8
12.625,13.691667,00:02.9
12.578261,13.654348,00:03.8
12.618116,13.67029,00:04.8
12.588889,13.72381,00:05.9
12.558333,13.75,00:06.8
12.549167,13.704167,00:07.8
12.57451,13.728431,00:08.9
12.492857,13.715079,00:09.8
12.507407,13.658333,00:10.8
12.495614,13.721053,00:11.9
12.65,13.75,00:12.9
12.67037,13.739815,00:13.8
12.613333,13.740833,00:14.8
12.6,13.658333,00:15.8
12.65,13.598551,00:16.8
12.640833,13.731667,00:17.8
12.672917,13.688889,00:18.8
12.65,13.75,00:19.8
12.666667,13.733333,00:20.8
12.65,13.75,00:21.8
12.631667,13.740833,00:22.8
12.527778,13.72381,00:23.8
12.615079,13.77619,00:24.8
12.65,13.75,00:25.8
12.666667,13.766667,00:26.8
12.642029,13.734058,00:27.8
12.57451,13.728431,00:28.9
12.63254,13.784921,00:29.8
12.635333,13.852667,00:30.8
12.582099,13.77037,00:31.8
12.642949,13.827564,00:32.8
12.65,13.841667,00:33.8
12.634058,13.82971,00:34.8
12.642667,13.823333,00:35.8
12.610145,13.821739,00:36.8
12.558333,13.8,00:37.8
12.640833,13.795833,00:38.8
12.577976,13.841667,00:39.8
12.554938,13.851852,00:40.8
12.483333,13.916667,00:41.8
12.475833,13.915,00:42.8
12.558333,13.841667,00:43.8
12.621795,13.869872,00:44.8
12.588889,13.863492,00:45.8
12.684921,13.77619,00:46.8
12.6775,13.805,00:47.8
12.588889,13.910417,00:48.8
12.65,13.841667,00:49.8
12.481333,13.852667,00:50.8
12.466667,13.933333,00:51.8
12.494872,13.996795,00:52.8
12.545238,13.863492,00:53.8
12.45,13.95,00:55.0
12.516667,13.941667,00:55.8
12.545238,14.003175,00:56.8
12.5125,13.9425,00:57.8
12.615079,13.959524,00:58.8
12.631667,13.9425,00:59.8
12.580159,13.942063,01:00.8
12.604167,13.979167,01:01.8
12.466667,14.025,01:02.8
12.452,14.014,01:03.8
12.452,14.036,01:04.8
12.434783,14.092754,01:05.8
12.525595,14.025,01:06.8
12.501587,14.090476,01:07.8
12.567816,14.040805,01:08.8
12.516667,14.025,01:09.8
12.642667,14.043333,01:10.8
12.57029,13.965217,01:11.8
12.474638,14.044928,01:12.8
